Zone Number,Zone Name,Defense Time
שפלה 181,"ניעלין,מבוא מודיעים,מודיעין מכבים רעות,מודיעין עילית,חשמונאים,גמזו,מידיה,נוף איילון,כפר דניאל,שילת,לפיד,בודרוס,מתתיהו,כפר הארנים,מבוא חורון,שעלבים,כפר רות",דקה וחצי
שפלה 182,"נצר סרני,גבעת ברנר,גן שלמה,גיבתון,רחובות,אירוס",דקה וחצי
שפלה 183,"בית עובד,עיינות,נס ציונה,בית חנן",דקה וחצי
שפלה 184,"כפר בן נון,מזכרת בתיה,עזריה,כפר שמואל,כרמי יוסף,יסודות,סתריה,יד רמב""ם,כפר ביל""ו,יציץ,פדיה,גזר,פתחיה,נען,מרכז קניות ביל""ו,משמר איילון,משמר דוד,בית עוזיאל,רמות מאיר,חולדה,בית חשמונאי,נצר חזני,קרית עקרון,גני יוחנן,גני הדר",דקה וחצי
שרון 137,"כפר ויתקין,מבואות ים,בית ינאי,בית חרות,חופית,גאולי תימן,מכמורת,נעורים",דקה וחצי
שרון 138,"צוקי ים,כפר ידידיה,שושנת העמקים,בית יצחק שער חפר,נורדיה,אביחיל,ביתן אהרן,גנות הדר,הדר עם,גבעת שפירא,חבצלת השרון,מעברות,בת חן,משמר השרון,כפר חיים,נתניה",דקה וחצי
שרון 140,"רשפון,גבעת ח""ן,רעננה",דקה וחצי
שרון 141,"כפר סבא,צופית,נווה ימין,גן חיים",דקה וחצי
שרון 142,"אבן יהודה,שפיים,חרוצים,געש,ורדים מוסד חינוכי,בית יהושע,יקום,בצרה,תל יצחק,בני ציון,אודים,ארסוף,כפר נטר,קרית שלמה",דקה וחצי
שרון 143,"ג'לג'וליה,מתן,כפר מל""ל,כפר קאסם,חבלה,חגור,שדי חמד,עדנים,רמות השבים,חורשים,נווה ירק,נירית,אורנית,כפר ברא,גני עם,אלישמע,הוד השרון,ירחיב,ירקונה",דקה וחצי
תבור 95,"ציפורי,הושעיה,אכסאל,עין מאהל,כפר החורש,נצרת,כפר כנא,תל עדשים,מזרע,משהד,ריינה,כפר גדעון,בלפוריה,נצרת עילית,יפיע,הסוללים,ערב אל פמאז",דקה
תבור 96,"שדמות דבורה,כפר תבור,עין דור,שעורים,בית קשת,דבוריה,שבלי,גזית,כפר קיש,טורעאן,כדורי,אילניה,כפר מיסר",דקה
תבור 98,"שדה אילן,יבנאל,בית ירח,אלומות,בית זרע,פוריה עילית,לביא,אשדות יעקב מאוחד,פוריה נווה עובד,פוריה כפר עבודה,אשדות יעקב איחוד,כפר כמא,אפיקים,כינרת מושבה,אוהלו,גבעת אבני,שרונה,דגניה ב',כפר נהר הירדן,מנחמיה,דגניה א',הזורעים,הודיות,כינרת קבוצה",דקה
